County,Full-Time and Part-Time Enrolled,Capacity in Centers that Didn't Receive Grants, Total "Optimistic" Childcare_Enrollment,ACS Children Under 5-Years-Old, Desert Ratio,
Keweenaw,5,,5,106,21.2,
Oscoda,28,46,74,423,5.7,
Alger,26,69,95,419,4.4,
Cass,247,416,663,2901,4.4,
Alcona,36,50,86,376,4.4,
St. Clair,1061,896,1957,8401,4.3,
Iron,40,104,144,568,3.9,
Montmorency,29,60,89,336,3.8,
Ontonagon,32,19,51,183,3.6,
Allegan,1260,1060,2320,7803,3.4,
Ionia,807,398,1205,3843,3.2,
Lake,7,164,171,543,3.2,
Branch,329,569,898,2844,3.2,
Roscommon,236,102,338,1063,3.1,
Montcalm,726,581,1307,4105,3.1,
Cheboygan,112,208,320,994,3.1,
Barry,539,666,1205,3666,3.0,
Ogemaw,125,226,351,1055,3.0,
Sanilac,671,178,849,2530,3.0,
Tuscola,478,565,1043,3087,3.0,
Luce,44,63,107,314,2.9,
Clinton,1138,512,1650,4835,2.9,
Gogebic,103,165,268,768,2.9,
Bay,1304,761,2065,5917,2.9,
Leelanau,290,52,342,958,2.8,
Chippewa,251,394,645,1798,2.8,
Arenac,121,146,267,743,2.8,
St. Joseph,557,875,1432,3961,2.8,
Crawford,93,172,265,733,2.8,
Gratiot,587,327,914,2496,2.7,
Hillsdale,459,465,924,2519,2.7,
Ottawa,4117,2900,7017,19120,2.7,
Livingston,2376,1608,3984,10812,2.7,
Macomb,9713,9081,18794,50580,2.7,
Berrien,2233,1442,3675,9826,2.7,
Jackson,1978,1547,3525,9309,2.6,
Lapeer,1018,918,1936,5001,2.6,
Eaton,1820,614,2434,6258,2.6,
Mason,378,253,631,1604,2.5,
Monroe,1651,1638,3289,8339,2.5,
Menominee,225,233,458,1159,2.5,
Wayne,20297,25931,46228,113953,2.5,
Marquette,719,710,1429,3517,2.5,
Shiawassee,1333,304,1637,3969,2.4,
Benzie,200,133,333,799,2.4,
Charlevoix,360,247,607,1417,2.3,
Ingham,4110,2680,6790,15524,2.3,
Missaukee,307,113,420,950,2.3,
Genesee,4833,6484,11317,25262,2.2,
Wexford,654,355,1009,2242,2.2,
Saginaw,3184,2073,5257,11630,2.2,
Oakland,21624,10089,31713,69881,2.2,
Isabella,1015,516,1531,3333,2.2,
Presque Isle,90,165,255,516,2.0,
Iosco,334,263,597,1201,2.0,
Lenawee,1766,901,2667,5365,2.0,
Delta,512,450,962,1931,2.0,
Van Buren,938,1408,2346,4697,2.0,
Muskegon,2478,3065,5543,11053,2.0,
Gladwin,223,463,686,1346,2.0,
Kent,10051,12559,22610,44048,1.9,
Schoolcraft,40,166,206,401,1.9,
Huron,632,234,866,1672,1.9,
Midland,1893,744,2637,5086,1.9,
Otsego,423,367,790,1483,1.9,
Dickinson,331,430,761,1428,1.9,
Grand Traverse,1934,973,2907,5368,1.8,
Alpena,386,332,718,1293,1.8,
Mecosta,577,560,1137,2045,1.8,
Mackinac,119,130,249,447,1.8,
Calhoun,1969,2642,4611,8241,1.8,
Kalkaska,239,311,550,977,1.8,
Houghton,222,964,1186,2096,1.8,
Osceola,324,465,789,1391,1.8,
Washtenaw,6283,4185,10468,18129,1.7,
Kalamazoo,4229,4748,8977,15434,1.7,
Antrim,271,433,704,1146,1.6,
Clare,264,921,1185,1893,1.6,
Manistee,199,463,662,1044,1.6,
Emmet,400,577,977,1522,1.6,
Oceana,103,1004,1107,1718,1.6,
Newaygo,962,1068,2030,2892,1.4,
Baraga,25,401,426,429,1.0,
,,,,,,
,,,,,,
,,,,,,
,,,,591065,,
